sub_industry,industry,sector
Vehicle Movements & Transport,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Vehicle Salvage & Vehicle Breaking,Wholesale Recyclable Materials,Wholesale
Vehicle Signage,Advertising Services,Professional Services
Vehicle Tracking,IT Services and IT Consulting,Professional Services
Vehicle Tracking System/gps Suppliers,Computers and Electronics Manufacturing,Manufacturing
Vehicles Wanted,Wholesale Motor Vehicles and Parts,Wholesale
Vehicules Neufs,Retail Motor Vehicles,Retail
Vending,Food and Beverage Retail,Retail
Vending Machine - Sales & Service,Repair and Maintenance,Consumer Services
Vending Machine Ingredients,Wholesale Food and Beverage,Wholesale
Vending Machine Manufacturers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Vending Machine Repairs,Repair and Maintenance,Consumer Services
Vending Machine Service,Repair and Maintenance,Consumer Services
Vending Machines,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Vending Services,Food and Beverage Retail,Retail
Veneer/plywood Manufacturers,Wood Product Manufacturing,Manufacturing
Venta Y Reparacion De Unidades Truck Trailers,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Ventilation System Contractors/hvac Service,Repair and Maintenance,Consumer Services
Ventilators And Ventilation Systems,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Venture Capital,Capital Markets,Financial Services
Venue,Events Services,Administrative and Support Services
Vessel Chartering,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Vet Jobs,Veterinary Services,Professional Services
Veterinary,Veterinary Services,Professional Services
Veterinary Business Performance,Veterinary Services,Professional Services
Veterinary Buying Group,Wholesale Drugs and Sundries,Wholesale
Veterinary Care,Veterinary Services,Professional Services
Veterinary Medical Equipment,Medical Equipment Manufacturing,Manufacturing
Veterinary Medical Services,Veterinary Services,Professional Services
Veterinary Medicine,Veterinary Services,Professional Services
Veterinary Pharmaceuticals,Veterinary Services,Professional Services
Veterinary Poison Information,Veterinary Services,Professional Services
Veterinary Practice Management,Veterinary Services,Professional Services
Veterinary Products,Veterinary Services,Professional Services
Veterinary Services,Veterinary Services,Professional Services
Veterinary Supplies,Veterinary Services,Professional Services
Video,Media and Telecommunications,"Technology, Information and Media"
Video Filming,Media and Telecommunications,"Technology, Information and Media"
Video Game Production,"Technology, Information and Internet","Technology, Information and Media"
Video Games Retail,Online and Mail Order Retail,Retail
Video Production Companies,Media and Telecommunications,"Technology, Information and Media"
Video Products,Media and Telecommunications,"Technology, Information and Media"
Video Tape Shops,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Video Tape Wholesalers & Distributors,"Wholesale Appliances, Electrical, and Electronics",Wholesale
Videoconferencing,IT Services and IT Consulting,Professional Services
Vietnamese Restaurants,Food and Beverage Services,Accommodation Services
Virology,Research Services,Professional Services
Virtual Office Services/coworking Spaces,Office Administration,Administrative and Support Services
Virtual Reality,"Technology, Information and Internet","Technology, Information and Media"
Visitor Centre,"Museums, Historical Sites, and Zoos",Entertainment Providers
Visitor Centres/tourist Information Centers,Civic and Social Organizations,Consumer Services
Visual Management,Business Consulting and Services,Professional Services
Visual Merchandising,Retail Apparel and Fashion,Retail
Vitamin And Mineral Supplements,Retail Health and Personal Care Products,Retail
Vitamin Beverages,Food and Beverage Manufacturing,Manufacturing
Vitamin Premixes,Food and Beverage Manufacturing,Manufacturing
Vocational Tertiary Education,Technical and Vocational Training,Education
Voluntary Association/charitable Organization,Non-profit Organizations,Consumer Services
Volunteering,Civic and Social Organizations,Consumer Services
Vouchers,Economic Programs,Government Administration
Vouchers & Coupons,Economic Programs,Government Administration
Wadworth Ales,Food and Beverage Manufacturing,Manufacturing
Wall Coverings & Interior Wallpaper,Retail Building Materials and Garden Equipment,Retail
Wall Tie Replacements,Specialty Trade Contractors,Construction
Ward Level Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Warehouse,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Warehouse Automation & Transportation Automation,"Technology, Information and Internet","Technology, Information and Media"
Warehouse Clubs,Online and Mail Order Retail,Retail
Warehouse Control Software,IT Services and IT Consulting,Professional Services
Warehouse Management System,Business Consulting and Services,Professional Services
Warehouse Management Systems,Business Consulting and Services,Professional Services
Warehouse Operations,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Warehouse Optimisation,Business Consulting and Services,Professional Services
Warehouse Trucks,Transportation Equipment Manufacturing,Manufacturing
Warehouses/warehousing Services,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Warehousing & Distribution,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Warranty Strategy,Business Consulting and Services,Professional Services
"Washing Machine - Servicing, Repairs & Installation",Repair and Maintenance,Consumer Services
Washing Machines & Home Laundry Equipment,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Waste Collections,Environmental Quality Programs,Government Administration
Waste Disposal,Environmental Quality Programs,Government Administration
Waste Disposal - Sewage,Environmental Quality Programs,Government Administration
Waste Disposal Unit Repair & Installation,Repair and Maintenance,Consumer Services
Waste Management Services,Environmental Quality Programs,Government Administration
Waste Merchants & Collectors,Environmental Quality Programs,Government Administration
Waste Oil Disposal,Environmental Quality Programs,Government Administration
Waste Processing Machinery,Machinery Manufacturing,Manufacturing
Waste Recycling,Environmental Quality Programs,Government Administration
Wastewater Management,"Water, Waste, Steam, and Air Conditioning Services",Utilities
Watch Repairing Service,Repair and Maintenance,Consumer Services
Watches & Jewellery,Retail Luxury Goods and Jewelry,Retail
Water & Wastewater Analysis,Research Services,Professional Services
Water Analysis Technologies,Environmental Quality Programs,Government Administration
Water Authorities,"Water, Waste, Steam, and Air Conditioning Services",Utilities
Water Coolers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Water Efficiency,Engineering Services,Professional Services
Water Engineers,Engineering Services,Professional Services
Water Filters,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Water Filtration,Environmental Quality Programs,Government Administration
Water Garden Services,Specialty Trade Contractors,Construction
Water Quality,Environmental Quality Programs,Government Administration
Water Services,"Water, Waste, Steam, and Air Conditioning Services",Utilities
Water Softeners,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Water Suppliers - Bottled,Food and Beverage Manufacturing,Manufacturing
Water Treatment,Environmental Quality Programs,Government Administration
Water Treatment & Water Filtration,"Water, Waste, Steam, and Air Conditioning Services",Utilities
Water Treatment Solutions,Environmental Quality Programs,Government Administration
Water Utility Companies,"Water, Waste, Steam, and Air Conditioning Services",Utilities
Waterjet Cutting Services,Machinery Manufacturing,Manufacturing
Waterproof Clothing & Rainwear,Apparel Manufacturing,Manufacturing
Waterproof Material Manufacturers,Textile Manufacturing,Manufacturing
Waterproofing - Buildings & Structures,Building Construction,Construction
Watersports,Recreational Facilities,Entertainment Providers
Wealth Management,Capital Markets,Financial Services
Weather Services,Media and Telecommunications,"Technology, Information and Media"
Web Analytics,IT Services and IT Consulting,Professional Services
Web Application Development,IT Services and IT Consulting,Professional Services
Web Applications,IT Services and IT Consulting,Professional Services
Web Design,IT Services and IT Consulting,Professional Services
Web Development,IT Services and IT Consulting,Professional Services
Web Hosting,IT Services and IT Consulting,Professional Services
Web Quality Assurance,IT Services and IT Consulting,Professional Services
Website,IT Services and IT Consulting,Professional Services
Website Design,IT Services and IT Consulting,Professional Services
Website Development,IT Services and IT Consulting,Professional Services
Website Monitoring,IT Services and IT Consulting,Professional Services
Website Performance Monitoring,IT Services and IT Consulting,Professional Services
Websites & Hosting,IT Services and IT Consulting,Professional Services
Wedding Catering,Food and Beverage Services,Accommodation Services
Wedding Flowers,Retail Florists,Retail
Wedding Supplies & Services,Events Services,Administrative and Support Services
Wedding Venue,Events Services,Administrative and Support Services
Weed Control Services,Facilities Services,Administrative and Support Services
Weigh Stations - Public,Transportation Equipment Manufacturing,Manufacturing
Welders,Specialty Trade Contractors,Construction
Welding Machine Sales And Service,Machinery Manufacturing,Manufacturing
Welding Plastics,Plastics and Rubber Product Manufacturing,Manufacturing
Well Drilling Contractors,Oil and Gas,"Oil, Gas, and Mining"
Wellness,Medical Practices,Hospitals and Health Care
Wet Rooms,Building Construction,Construction
Wet Soups,Food and Beverage Manufacturing,Manufacturing
Wheatgrass,Farming,"Farming, Ranching, Forestry"
Wheel Clamping,Security and Investigations,Administrative and Support Services
"Wheel Trolley, Trolley Caster Wheels Manufacturers",Transportation Equipment Manufacturing,Manufacturing
Wheelie Bin Cleaning,Environmental Quality Programs,Government Administration
Wheelie Bins,Environmental Quality Programs,Government Administration
Wheels & Castors,Wholesale Motor Vehicles and Parts,Wholesale
